place_id,place_name,comm_score,cover_image_url,location,tag_list,coordinate_type,latitude,longitude,address,description
78916,Namsan Mountain Park,4.7,https://ak-d.tripcdn.com/images/0103f120009zdej1cADEE.jpg,Seoul,"['City Parks', 'Nighttime sightseeing']",GCJ02,37.55099,126.990899,"231 Samil-daero, Jung-gu, Seoul, South Korea","Namsan Park is a landmark in Seoul, and N Seoul Tower is located here. Located on the top of a mountain 265 meters above sea level, this is a popular place for people to take in the surrounding scenery and get some fresh air. Take the Namsan Cable Car or walk to the top of the mountain. Namsan's scenery is beautiful all year round, but is especially spectacular when cherry blossoms and autumn leaves change. Korean dramas “My Name is Kim Sam-soon,” “Boys Over Flowers,” and “Rooftop Prince” were filmed right here. In addition, there is a 7km long walking trail around Namsan Park, filled with flowers and trees such as cherry blossoms, hollyhocks, magnolias, and azaleas."
83001,N Seoul Tower,4.6,https://ak-d.tripcdn.com/images/1lo6912000ekednmm7F87.png,Seoul,"['Modern Architecture', 'Observation Decks', 'Nighttime sightseeing']",GCJ02,37.551169,126.988227,"105 Namsangongwon-gil, Yongsan-gu, Seoul","• N Seoul Tower is Seoul's representative landmark located at the top of Namsan Mountain in Seoul and is a famous attraction that offers a panoramic view of Seoul.• The most popular place in N Seoul Tower is the Love Lock fence, which is also the most popular date spot for couples. Hang a lock here with your lover and promise eternal love.• You can enjoy a romantic dinner while enjoying a beautiful view of Seoul at the French restaurant located at the highest point of the tower. Don’t forget to enjoy the view of N Seoul Tower, where the lights change differently depending on the season.△Namsan Seoul Tower, a special space in the center of Seoul!Experience unforgettable moments at Namsan Seoul Tower, a cultural complex with over 30 stores, food, things to see, and things to do in the tower.﻿△Please leave messages of love and memories between lovers, family, and friends on the tower. Promise yourself a love that will never change for a long time!﻿△Namsan Cable Car is famous as a date course for couples. Take a cable car through the sky and enjoy the scenery of Namsan and the view of Seoul at a glance.﻿△Enjoy handmade burgers, various side menus, beer and drinks with the beautiful scenery of Seoul!"
78910,Gyeongbokgung Palace,4.5,https://ak-d.tripcdn.com/images/0104p120008ars39uB986.jpg,Seoul,['Historical Architectures'],GCJ02,37.579617,126.977041,"161 Sajik-ro, Jongno-gu, Seoul","Gyeongbokgung Palace is located in the center of Seoul and is the first palace built during the Joseon Dynasty. Gyeongbokgung Palace boasts beautiful scenery all year round, with cherry blossoms in spring, green trees in summer, ginkgo trees in fall, and white snow like jade in winter. Korean dramas such as Dae Jang Geum, Rooftop Prince, and My Love from the Star were all filmed here. Gyeongbokgung Palace has Geonchunmun Gate on the east, Yeongchunmun Gate on the west, Sinmumun Gate on the north, and Gwanghwamun Gate on the south. Gwanghwamun Gate is the main entrance to the palace and stands out for its exquisite craftsmanship, outstanding architecture, and beautiful, stylish design. The Changing of the Royal Guard Ceremony is a must-see."
10524255,Myeong-dong,4.6,https://ak-d.tripcdn.com/images/10050z000000nf6sl9C57.jpg,Seoul,"['Featured Neighborhoods', 'Nighttime sightseeing']",GCJ02,37.55998,126.98583,"Myeong-dong, Jung-gu, Seoul, South Korea","Myeong-dong is a well-known commercial district in Korea that combines food and beverage all kinds of entertainment. It includes a wide variety of brand-name stores with small vendors selling small commodities and food on either side of the street. The Myeong-dong Festival is held here in the spring and autumn, as well as the Miss Myeong-dong Pageant, folk games, traditional wedding ceremonies, fashion shows and plenty of other attractions."
140777022,Wild Wild <After Party>,4.9,https://ak-d.tripcdn.com/images/1lo5d12000ey06hya2C42.png,Seoul,"['Featured performance', 'Live Show']",GCJ02,37.564686,126.993231,"B1F, Myungbo Art Hall, 47, Mareunnae-ro, Jung-gu, Seoul",• Have wild fun and shout wild!• A girl’s dream party! This is where a fantasy you've never dreamed of before begins.• After Party for women who dream of a fantastic escape for just one night!
30633519,Myeongdong Nanta,4.7,https://ak-d.tripcdn.com/images/100810000000ovtqm065A.png,Seoul,"['Featured performance', 'Live Show']",GCJ02,37.563453,126.983721,"3F, 26 Myeongdong-gil, Jung-gu, Seoul","• Enjoy realistic and exciting kitchen performances and dazzling performances.• Expressing the classical rhythm of our traditional song ‘Samulnori’ through a performing art that combines acrobatics, comedy, and percussion instruments• Enjoy classical performances by a talented troupe, from traditional folk songs to contemporary songs.Founded in 1997, Nanta Show is Korea’s representative silent show and Asia’s first long-running Broadway show. It has been performed over 43,000 times in 322 cities in 60 countries and regions, entertaining over 13 million audiences worldwide. Come experience the captivating charm of the Nanta Show for yourself.△ Nanta Show is Korea's first non-verbal theater performance that can be enjoyed by people of all ages and genders, by comically dramatizing events that occur in the kitchen using the rhythm of Samulnori, a traditional Korean music.△ Since the work consists only of rhythm, beat, and situation, it is free from language barriers and can therefore be enjoyed and sympathized with by anyone, regardless of age or gender, around the world.△ Another strength that makes Nanta special is that the audience can come up on stage and participate in the show. Get excited and empathize with the actors, and experience the thrilling fun that is unique to “Nanta”!△ After establishing its own theater in Jeong-dong, Seoul, Nanta opened theaters in Jeju Island, Myeong-dong, and Hongdae, establishing itself as a must-see tourist attraction not only for domestic audiences but also for foreign tourists."
87555,Bukchon Hanok Village,4.6,https://ak-d.tripcdn.com/images/100p11000000r4rhv9EF4.jpg,Seoul,['Ancient Towns'],GCJ02,37.58147,126.984952,"37, Gyedong-gil, Jongno-gu, Seoul","Bukchon Hanok Village is a classic traditional residential area in Seoul. The houses are all perfectly preserved blue-spring houses of the Joseson era. In addition to traditional Hanok, Korean restaurants, hanbok stores, and traditional handicraft workshops, the area now includes a number of cafes, Western restaurants, clothing shops and galleries in traditional Korean houses. Visitors can choose to either visit the North Village, or stay in Hanok. The eight villages in Kitamura are a famous attraction in the Bukchon Hanok Village. These scenes highlight the architectural charm of the Hanok houses, some artistic and others rich in the flavor of the daily life of local residents."
10521755,COEX Aquarium,4.7,https://ak-d.tripcdn.com/images/1lo0412000cqemlhg1D49.jpg,Seoul,['Aquariums'],GCJ02,37.513131,127.058283,"513 Yeongdong-daero, Gangnam-gu, Seoul","•Explore COEX Aquarium, Korea's largest aquarium, home to over 40,000 marine creatures from 650 species.•As you explore 14 thematic exhibitions, you will learn more about local marine life from around the world with your eyes and mind.•Hop on the moving walkway and travel through the deep sea zone for a fully immersive experience. End your underwater adventure at Penguin’s Playground.▴Let’s take pretty pictures at the Rainbow Lounge!▴Experience the charm of the sea by seeing various unique fish up close.▴There are 183 exhibition tanks and 90 breeding tanks in a total area of ​​15,970㎡, and over 650 species and 40,000 creatures live in them.▴In particular, this place is the best shark habitat in Korea, and the number and types of sharks on display are ranked first in the country.▴Dive into the ocean through the museum’s various themed areas and enjoy the diverse and colorful underwater ecosystem!"
50583507,Starfield Library,4.7,https://ak-d.tripcdn.com/images/0100s120008jom1j25683.jpg,Seoul,['Libraries'],GCJ02,37.510006,127.059977,"South Korea, Seoul, Gangnam-gu, Yeongdong-daero, 513 스타필드 코엑스몰 B1","The library, which has been very popular since its opening in May 2017, is located in COEXMALL, a department store in Gangnam District. It has attracted a large number of pilgrims in a short period of time and has become a popular landmark for photography and leisure. The interior is quite spacious and open, and this library features 3 large bookshelves up to 13 meters high, surrounding everyone, as if walking into a wonderful world like a fairy tale, as well as more than 50,000 books and magazines. It has a brand-new equipment e-book system, which is convenient for everyone to view and read. The magazine area also provides more than 600 kinds of domestic and foreign content for people to read. In addition, there are also many sofas and various tables and chairs in the library, which are convenient for everyone to read and rest here. The light is completely projected by natural light. The brightness inside during the day will definitely make you feel like you are bathed in the sun. Reading, watching the starry sky at night, embellishing the interior lighting to feel the romantic atmosphere."
10758661,Namsan Cable Car,4.5,https://ak-d.tripcdn.com/images/100l1f000001gqferAFFE.jpg,Seoul,"['Cable Cars', 'Nighttime sightseeing']",GCJ02,37.556591,126.983974,"83 Sopa-ro, Jung-gu, Seoul","The Nanshan cable car is constructed from jumbo sized glass and can carry 48 people. You can ride the cable car to the mountain, where you can enjoy a full view of Seoul. At night, you can experience the beautiful night view of Seoul. The Nanshan Cable Car, which has weathered decades of wind and rain, is one of the most popular tourist facilities beloved by Seoul citizens and tourists."
